URI,中文名称,ICD-11编码,ICD-11章节,英文名称,引用次数,是否匹配
i631619147943374848,"耳鸣,耳聋",AB30,09,Tinnitus,5,是
i631619126288183296,慢性浅表性胃炎,,,,5,否
i631619129991753728,下腰痛,ME84,15,Low back pain,5,是
i631619131380068352,"单纯性肥胖,肥胖病",5B81.0,05,Simple obesity,5,是
i631619131648503808,"中风,尿潴留",8B20,08,Stroke,5,是
i631619151403675648,胃下垂,,,,5,否
i631619171599249408,骨质疏松症腰背痛,FB83,15,Osteoporosis,5,是
i631619158315888640,"中风,痉挛,偏瘫",8B20,08,Stroke,5,是
i631619161134460928,"脑卒中后偏瘫,痉挛",,,,5,否
i631619196748296192,抽动秽语综合征,,,,5,否
i631619200946794496,不安腿综合征,,,,5,否
i631619224892076032,"脑梗死,偏瘫",8B11,08,Cerebral infarction,5,是
i631619233008054272,"外伤,脑梗死",,,,5,否
i631619219384954880,肿胀,,,,5,否
i631619245607743488,脑瘫流涎,,,,5,否
i631619246169780224,中风偏瘫痉挛,8B2Y,08,Hemiplegia after stroke,5,是
i631619249227427840,精神分裂症顽固性幻听,6A20,06,Schizophrenia,5,是
i631619278973431808,创伤后应激障碍,6B40,06,Post-traumatic stress disorder,5,是
i631619305414324224,脾胃气虚型功能性消化不良,DA91,13,Functional dyspepsia,5,是
i631619281032835072,缺血性中风气虚血瘀型,8B11,08,Ischaemic stroke,5,是
i631619290398715904,术后肠麻痹,,,,5,否
i631619298997039104,构音障碍,,,,5,否
i631619338545131520,闭经,,,,5,否
i631619360321957888,骨质增生症,,,,5,否
i631619406274752512,痰瘀阻络型中风后遗症,8B2Y,08,Sequelae of stroke,5,是
i631619376587468800,"混合痔,疼痛",,,,5,否
i631619378994999296,脑卒中后动眼神经麻痹,,,,5,否
i631619429414727680,"麻痹,吞咽障碍",MB23.3,21,Dysphagia,5,是
i631619430442332160,郁证,,,,5,否
i631619414327816192,脑卒中后上肢痉挛,,,,5,否
i631619464823042048,震颤麻痹,,,,5,否
i631619518602407936,脑卒中后顽固性呃逆,DD93,13,Intractable hiccup,5,是
i631619480245497856,"恢复期,脑梗死",,,,5,否
i631619492408979456,抑郁障碍,6A70,06,Depressive disorder,5,是
i631619548751065088,鼻炎,,,,5,否
i631619554648256512,脑卒中后失语症,,,,5,否
i631619582603292672,痰热内扰型失眠,,,,5,否
i631619587196055552,脑卒中后失语,,,,5,否
i631619532758183936,"脑卒中,卒中后吞咽功能障碍",8B20,08,Stroke,5,是
i631619635090812928,脑卒中患者失眠,8B20,08,Stroke patients (general),5,是
i631619655269609472,脑中风运动功能障碍,MB21,21,Motor dysfunction,5,是
i631619608108855296,梅尼埃病,,,,5,否
i631619625146118144,卵巢囊肿,GA14,17,Ovarian cyst,5,是
i631619714136666112,子宫腺肌病,,,,5,否
i631619719383740416,结核性脑膜炎,,,,5,否
i631619723162808320,脑卒中后肌张力增高,,,,5,否
i631619725142519808,急性脑梗死后吞咽障碍,8B11,08,Acute cerebral infarction,5,是
i631620889149960192,环咽肌失弛缓症,,,,5,否
i631620689161351168,"中风,肢痉挛,瘫痪",8B20,08,Stroke,5,是
i631620700716658688,慢性紧张性头痛,,,,5,否
i631620928228290560,缺血性中风恢复期,8B11,08,Ischaemic stroke,5,是
i631620727279185920,急性期缺血性卒中,,,,5,否
i631621049665974272,脑卒中后继发性癫痫,,,,5,否
i631621057559654400,急性心力衰竭,BD10,11,Heart failure,5,是
i631621060017516544,"缺血性脑卒中,恢复期",8B11,08,Ischaemic stroke,5,是
i631620881340166144,"帕金森病,便秘",8A00,08,Parkinson disease,5,是
i631620250500067328,糖尿病足,,,,5,否
i631619878096203776,"帕金森病,抑郁症",8A00,08,Parkinson disease,5,是
i631619883049676800,中风后肌张力增高,,,,5,否
i631620268292304896,瘫痪,,,,5,否
i631619891870298112,间歇性变应性鼻炎,,,,5,否
i631620097059844096,膝关节创伤性滑膜炎,,,,5,否
i631619760584388608,"脑梗死,认知障碍",8B11,08,Cerebral infarction,5,是
i631619766724849664,急性肾绞痛,,,,5,否
i631620344167264256,"寒湿,腰痛",,,,5,否
i631619780041764864,"脑卒中,失眠",8B20,08,Stroke,5,是
i631619788296155136,失语,,,,5,否
i631619792029085696,嗅觉障碍,,,,5,否
i631620181193388032,"心脾两虚,失眠",,,,5,否
i631620184532054016,脑梗死，神经功能缺损,8B11,08,Cerebral infarction,5,是
i631619998963462144,脊髓型颈椎病,FA84.3,15,Cervical myelopathy,5,是
i631620202865356800,冠心病稳定性心绞痛,,,,5,否
i631620019721072640,枕大神经痛,,,,5,否
i631622927443292160,"肾虚,神经根型颈椎病",TM07,26,Kidney deficiency (TCM),5,是
i631622978865459200,"脑外伤,血瘀,头痛",,,,5,否
i631622829887975424,急性脑梗死后肺部感染,8B11,08,Acute cerebral infarction,5,是
i631622004759326720,原发性头痛,,,,5,否
i631621761988816896,"急性脑梗死,尿失禁",8B11,08,Acute cerebral infarction,5,是
i631622456024494080,产后身痛,,,,5,否
i631622509036302336,面部神经麻痹,,,,5,否
i631619123188592640,颞颌关节功能紊乱,,,,4,否
i631619136123826176,弱视,,,,4,否
i631619137969319936,排尿障碍,MG54,16,Voiding dysfunction,4,是
i631619169887973376,黄褐斑伴乳腺增生,FA92.2,15,Fibrocystic breast changes,4,是
i631619170068328448,增生性膝关节炎,,,,4,否
i631619172501024768,肥胖2型糖尿病,5A11,05,Type 2 diabetes mellitus,4,是
i631619166004047872,颞下颌关节紊乱病,,,,4,否
i631619166306037760,"脑卒中,肩-手综合征",8B20,08,Stroke,4,是
i631619167685963776,功能性出口梗阻型便秘,,,,4,否
i631619160505315328,心病,,,,4,否
i631619195896852480,尿毒症皮肤瘙痒,,,,4,否
i631619173738344448,神经症,,,,4,否
i631619180541505536,原发性开角型青光眼,,,,4,否
i631619237437239296,中风运动性失语,,,,4,否
i631619229786828800,急性面神经炎,8B83.0,08,Facial neuritis / Bell palsy,4,是
i631619231334526976,"抑郁症,细胞",6A70,06,Depressive disorder,4,是
i631619216658657280,小儿疳积,,,,4,否
i631619220056043520,纤维肌痛综合征,MG30.01,15,Fibromyalgia,4,是
i631619220211232768,心脾两虚型失眠症,,,,4,否
i631619259734159360,不宁腿综合征,,,,4,否
i631619261705482240,眼睑痉挛,,,,4,否
i631619303724019712,花粉症,,,,4,否
i631619306265767936,骨性膝关节炎,,,,4,否
i631619286560927744,缺血性脑血管病急性期,8B2Z,08,Cerebrovascular disease,4,是
i631619340768112640,重型颅脑损伤脑觉醒功能障碍,,,,4,否
i631619355074883584,中风后失语,,,,4,否
i631619359730561024,偏瘫肩痛,,,,4,否
i631619320069222400,冻结肩,,,,4,否
i631619326893355008,心悸,,,,4,否
i631619404919992320,肩背肌筋膜炎,,,,4,否
i631619398943109120,神经性皮炎,,,,4,否
i631619384565035008,中风后足下垂,,,,4,否
i631619468207845376,"痉挛,脑卒中",,,,4,否
i631619499421855744,手外伤,,,,4,否
i631619506107576320,脑卒中后痉挛性瘫痪,8B21,08,Spastic paralysis,4,是
i631619549191467008,类风湿性膝关节炎,,,,4,否
i631619565863825408,"抑郁症,睡眠障碍",6A70,06,Depressive disorder,4,是
i631619567700930560,脑血管病,8B2Z,08,Cerebrovascular disease,4,是
i631619573631676416,失语症复述障碍,,,,4,否
i631619575011602432,慢性湿疹,,,,4,否
i631619525128744960,"脑损伤,昏迷",,,,4,否
i631619527922151424,中风便秘,,,,4,否
i631619533630599168,脑性瘫痪,8D20,08,Cerebral palsy,4,是
i631619641994637312,急性胰腺炎,,,,4,否
i631619652203573248,遗尿,,,,4,否
i631619605458055168,脑卒中痉挛性偏瘫,,,,4,否
i631619609010630656,周围型面神经麻痹,8B83,08,Facial nerve palsy,4,是
i631619623631974400,慢性非特异性下腰痛,,,,4,否
i631619722688851968,中风后肩-手综合征,,,,4,否
i631619737138229248,"单纯性肥胖,胰岛素抵抗",5B81.0,05,Simple obesity,4,是
i631619688136175616,"子宫腺肌病,痛经",,,,4,否
i631620661437001728,感染,,,,4,否
i631621136261574656,视网膜中央静脉阻塞,,,,4,否
i631621393137528832,脑卒中后肌张力障碍,,,,4,否
i631621417078616064,大动脉粥样硬化型脑梗死,,,,4,否
i631621193820008448,"突发性耳聋,耳鸣",AA40,09,Sudden sensorineural hearing loss,4,是
i631621208047087616,"慢性盆腔炎,炎症",GA21,17,Chronic pelvic inflammatory disease,4,是
i631621210920185856,"恢复期,脑卒中后遗症",8B2Y,08,Post-stroke sequelae,4,是
i631620746786893824,肾结石,,,,4,否
i631620755250999296,顽固性面瘫3,,,,4,否
i631620992493416448,“萨病”后遗症,,,,4,否
i631620803229642752,"缺血性脑卒中,偏瘫",8B11,08,Ischaemic stroke,4,是
i631620803573575680,脑梗死所致中枢性面瘫,,,,4,否
i631620810972327936,强迫症,6B20,06,Obsessive-compulsive disorder,4,是
i631621051133980672,"头晕,颈性眩晕",AB31.1,08,Cervicogenic vertigo,4,是
i631621054694944768,分泌性中耳炎,,,,4,否
i631620838692483072,运动性肢体活动受限,,,,4,否
i631621327815438336,放化疗后顽固性呃逆,DD93,13,Intractable hiccup,4,是
i631620632152371200,乳腺癌抑郁症,,,,4,否
i631620858921611264,消化性溃疡,DA60,13,Peptic ulcer,4,是
i631620861996036096,乳腺炎,,,,4,否
i631620646274592768,腰脊痛,,,,4,否
i631620867985502208,关节损伤,,,,4,否
i631621369070612480,咳嗽性哮喘,,,,4,否
i631619857942573056,稳定型心绞痛,,,,4,否
i631619860496904192,未破裂卵泡黄素化综合征,,,,4,否
i631620451491115008,盘源性腰痛,,,,4,否
i631620050020724736,关节骨性关节炎,FA00,15,Osteoarthritis,4,是
i631620055573983232,肩颈腰腿疼痛,,,,4,否
i631619885830500352,"不寐,中风后失眠",7A00,07,Insomnia (TCM),4,是
i631620085974298624,痹症,,,,4,否
i631620087761072128,骨质疏松致脊椎压缩性骨折,,,,4,否
i631620313649508352,痰浊中阻型椎,,,,4,否
i631619920307679232,突发性聋,,,,4,否
i631619925428924416,"黄疸,肝炎",,,,4,否
i631620316421943296,脓毒症,,,,4,否
i631619932911562752,"慢性疲劳综合征,细胞",MG22,21,Chronic fatigue syndrome,4,是
i631619937848258560,非细菌性前列腺炎和前列腺痛,,,,4,否
i631619779047714816,颞下颌关节炎,,,,4,否
i631619966122061824,广泛性焦虑症,,,,4,否
i631619968579923968,胃癌,,,,4,否
i631619974368063488,"肩痛,偏瘫,肩关节周围炎",FB20,15,Shoulder pain,4,是
i631620365012955136,锁骨骨折,,,,4,否
i631619976914006016,急性扁桃体炎,,,,4,否
i631619984384061440,"脾虚,肠易激综合征",DA93,13,Irritable bowel syndrome,4,是
i631620176957140992,"痉挛,脑卒中偏瘫",8B2Y,08,Post-stroke hemiplegia,4,是
i631620029644795904,"脑卒中,脱位",8B20,08,Stroke,4,是
i631623095815237632,脑卒中后肺部感染,,,,4,否
i631623300694405120,带状疱疹神经痛,1E91,01,Herpes zoster,4,是
i631622821591642112,慢性腰痛,,,,4,否
i631622833297944576,"脑卒中,精神障碍",8B20,08,Stroke,4,是
i631622225295831040,咽炎,,,,4,否
i631622591315963904,视频终端综合征,,,,4,否
i631622019930124288,肢体肌张力增高,,,,4,否
i631621641146724352,肿瘤呃逆,,,,4,否
i631621692342398976,膝痹,,,,4,否
i631621699086839808,精神发育迟缓,,,,4,否
i631622098862731264,单纯性功能性便秘,DD91,13,Functional constipation,4,是
i631621724617568256,肝气郁结型抑郁症,,,,4,否
i631622126687744000,格林-巴利综合征,,,,4,否
i631622167347326976,更年期失眠症,,,,4,否
i631622172732813312,脑梗死软瘫期肌力,,,,4,否
i631622478476603392,早期周围性面瘫,8B83.0,08,Peripheral facial palsy,4,是
i631619122119045120,"脑血管病,恢复期",8B2Z,08,Cerebrovascular disease,3,是
i631619123570274304,臂丛神经痛,,,,3,否
i631619134194446336,无先兆偏头痛,,,,3,否
i631619137193373696,日间过度倦睡症,,,,3,否
i631619131455565824,脑卒中后中期偏瘫,,,,3,否
i631619165941133312,顽固性头痛,,,,3,否
i631619166100516864,急性荨麻疹,,,,3,否
i631619167199424512,"腰椎间盘突出症,坐骨神经痛",FA84.2,15,Lumbar disc herniation,3,是
i631619168587739136,脑瘫儿童语言障碍,,,,3,否
i631619151772774400,尿道综合征,,,,3,否
i631619157623828480,感音神经性神经性耳鸣,,,,3,否
i631619158995365888,"梗塞,痴呆",,,,3,否
i631619160656310272,"冠心病心绞痛,发作",,,,3,否
i631619185767608320,小儿积滞症,,,,3,否
i631619191618662400,脑卒中后便秘,,,,3,否
i631619191673188352,膝关节疼痛,,,,3,否
i631619204730056704,肩-手综合征,,,,3,否
i631619198828670976,急性变态反应性接触性皮炎,,,,3,否
i631619173859979264,胆石症,,,,3,否
i631619184010194944,"阳虚,虚寒,膝骨性关节炎",FA00,15,Osteoarthritis,3,是
i631619208593010688,梅核气,,,,3,否
i631619226783707136,"腰痛,急性腰扭伤",ME84,15,Low back pain,3,是
i631619234438311936,小儿秋季腹泻,,,,3,否
i631619236606767104,脑血管意外后遗症,,,,3,否
i631619229375787008,酒精中毒,,,,3,否
i631619232915779584,"寒湿,腰椎间盘突出症",FA84.2,15,Lumbar disc herniation,3,是
i631619221599547392,心律失常,BC80-BC8Z,11,Cardiac arrhythmia,3,是
i631619260891787264,中风后尿潴留,,,,3,否
i631619263651639296,子宫内膜异位症痛经,GA10,17,Endometriosis,3,是
i631619270534492160,老年性虚证型便秘,,,,3,否
i631619275106283520,胰腺炎,,,,3,否
i631619269519470592,无痛分娩,,,,3,否
i631619242097111040,"痔疮,疼痛",,,,3,否
i631619245154758656,"脑梗塞,偏瘫",8B11,08,Cerebral infarction,3,是
i631619249189679104,麻醉后尿潴留,,,,3,否
i631619303933734912,假性球麻痹,,,,3,否
i631619306806833152,"支气管哮喘,发作",CA23,12,Asthma,3,是
i631619310237773824,抑郁性神经症,6B00,06,Neurotic depression,3,是
i631619287743721472,幕上肿瘤,,,,3,否
i631619288951681024,脑卒中后肌痉挛,,,,3,否
i631619350217879552,软组织损伤,,,,3,否
i631619358468075520,肌炎,,,,3,否
i631619321109409792,"脑损伤,意识障碍",,,,3,否
i631619328508162048,混合痔,,,,3,否
i631619329196027904,"急性脑梗死,脑梗死偏瘫",8B11,08,Acute cerebral infarction,3,是
i631619337324589056,宫颈癌,,,,3,否
i631619393377267712,狭窄性腱鞘炎,,,,3,否
i631619395000463360,重度感音神经性耳聋,AA40.1,09,Sensorineural hearing loss,3,是
i631619398318157824,糖耐量受损,,,,3,否
i631619372049231872,椎间盘突出症,,,,3,否
i631619385915600896,股骨头坏死,,,,3,否
i631619427783143424,"中风,脱位",8B20,08,Stroke,3,是
i631619435534217216,急性乳腺炎,,,,3,否
i631619437602009088,手足口病,,,,3,否
i631619438944186368,中耳炎,,,,3,否
i631619456086306816,"外伤,截瘫",,,,3,否
i631619460142198784,"脑卒中,面瘫",8B20,08,Stroke,3,是
i631619452193992704,风湿性心脏病,,,,3,否
i631619409059770368,慢性胆囊炎,,,,3,否
i631619466693701632,卒中后痉挛性瘫痪,8B21,08,Spastic paralysis,3,是
i631619512688439296,肝郁化火型失眠,,,,3,否
i631619518757597184,"脑出血,疾病",8B00,08,Intracerebral haemorrhage,3,是
i631619473673023488,正中神经损伤,,,,3,否
i631619476508372992,前部缺血性视神经病变,,,,3,否
i631619477737304064,"2型糖尿病,糖尿病周围神经病变",5A11,05,Type 2 diabetes mellitus,3,是
i631619488042708992,中风后构音障碍,,,,3,否
i631619553952002048,"脑卒中,肌痉挛",8B20,08,Stroke,3,是
i631619571089928192,酒精性脂肪肝,,,,3,否
i631619524742868992,剖宫产术后胃肠功能恢复,,,,3,否
i631619527624355840,"心肾不交,失眠",,,,3,否
i631619533173420032,感冒,,,,3,否
i631619535320903680,老年性骨质疏松,,,,3,否
i631619542157619200,早期甲型 H1N1流感,,,,3,否
i631619638647582720,腰椎间盘突出性疼痛,FA84.2,15,Lumbar disc herniation,3,是
i631619604111683584,眩晕型颈椎病,,,,3,否
i631619607899140096,"脊髓损伤,尿潴留",NA50,22,Spinal cord injury,3,是
i631619619727077376,阴虚火旺型失眠症,,,,3,否
i631619706083602432,"脑卒中后认知,卒中后认知障碍",8A20,08,Cognitive disorder,3,是
i631619728300830720,残胃无力症,,,,3,否
i631619692699578368,胫骨中下段骨折,,,,3,否
i631621388083392512,肱二头肌长头腱腱鞘炎,,,,3,否
i631621397331832832,心血管神经症,,,,3,否
i631621429757997056,肥胖,,,,3,否
i631620921739702272,良性前列腺增生,GA90,16,Benign prostatic hyperplasia,3,是
i631620922305933312,"粘连,肩周炎",,,,3,否
i631621171963490304,胃痛,,,,3,否
i631621194797281280,"脑卒中后吞咽障碍,肺炎",MB23.3,21,Post-stroke dysphagia,3,是
i631621531331457024,语言发育迟缓,,,,3,否
i631620499557838848,恶劣心境,,,,3,否
i631620969286332416,脑外伤瘫痪,,,,3,否
i631620750108782592,产后尿失禁,,,,3,否
i631621238787141632,慢性鼻炎,,,,3,否
i631621022658850816,"脊髓损伤,便秘",NA50,22,Spinal cord injury,3,是
i631620556948500480,急性脑梗死后真性延髓麻痹,8B11,08,Acute cerebral infarction,3,是
i631621034994298880,氟骨症,,,,3,否
i631621037821259776,偏瘫患者生活活动能力指标的恢复,,,,3,否
i631621038785949696,中风偏瘫后遗症,8B2Y,08,Hemiplegia after stroke,3,是
i631620581099302912,滑囊炎,,,,3,否
i631620809953112064,痉挛型脑性瘫痪患儿,8D20,08,Cerebral palsy,3,是
i631620588997177344,"颈椎病,颈部疼痛",FA84,15,Cervical spondylosis,3,是
i631620825329430528,子宫颈癌,,,,3,否
i631620602729328640,感染后咳嗽,,,,3,否
i631620612078432256,脑卒中抑郁,,,,3,否
i631620613781319680,脑卒中球麻痹,,,,3,否
i631621320383131648,早期2型糖尿病周围神经病变,5A14,05,Diabetic peripheral neuropathy,3,是
i631620621838577664,"脊髓损伤,痉挛",NA50,22,Spinal cord injury,3,是
i631620866500718592,"脾虚,单纯性肥胖症",5B81.0,05,Simple obesity,3,是
i631620436630695936,颈性眩晕症,AB31.1,08,Cervicogenic vertigo,3,是
i631619861251878912,输卵管阻塞,,,,3,否
i631619862040408064,"脑损伤,运动障碍",,,,3,否
i631620036192104448,肝内胆管结石,,,,3,否
i631620036833832960,颅脑损伤术后气阴两虚汗证,,,,3,否
i631620044001898496,足跟痛,FB50.6,15,Heel pain,3,是
i631620246058299392,女性盆底功能障碍,,,,3,否
i631620454867529728,湿热内蕴型腰椎间盘突出症,FA84.2,15,Lumbar disc herniation,3,是
i631619868004708352,广泛性焦虑,,,,3,否
i631619868092788736,精神病,,,,3,否
i631619872870100992,头疼症,,,,3,否
i631620049437716480,"糖尿病,肩周炎",5A10-5A14,05,Diabetes mellitus,3,是
i631619886493200384,中风患者康复,8B20,08,Stroke patients,3,是
i631620062024822784,注意力缺陷多动症,,,,3,否
i631620067167039488,中风病恢复期,,,,3,否
i631620069763313664,脊髓空洞症,,,,3,否
i631620077262729216,"便秘,肠易激综合征",ME05,13,Constipation,3,是
i631620283987390464,月经性偏头痛,,,,3,否
i631620485506920448,脑卒中后肩痛,,,,3,否
i631620491487997952,中风后肩痛,,,,3,否
i631620093809258496,干眼,,,,3,否
i631619743245135872,脑出血偏瘫,,,,3,否
i631619758625648640,足底筋膜炎,,,,3,否
i631620320955985920,滑膜炎,,,,3,否
i631619932303388672,"中风,运动障碍",8B20,08,Stroke,3,是
i631620329071964160,脱发,,,,3,否
i631620335522803712,"偏瘫,痉挛",8B20.1,08,Hemiplegia,3,是
i631620349515001856,脑外伤后综合征,,,,3,否
i631619784408035328,萨病( 中风) 恢复期,,,,3,否
i631619789101461504,疲劳,,,,3,否
i631619954361233408,颈性头痛,,,,3,否
i631620351268220928,肩关节脱位,,,,3,否
i631619795258699776,颈椎病颈痛并失眠,,,,3,否
i631619969611722752,气滞血瘀型颈椎病,TM09,26,Qi stagnation blood stasis,3,是
i631620160536440832,"脑梗死,疾病",8B11,08,Cerebral infarction,3,是
i631620165993230336,腰扭伤,,,,3,否
i631620369773490176,脑外伤昏迷,,,,3,否
i631620376027197440,"单纯性肥胖,肥胖病,膝骨性关节炎",5B81.0,05,Simple obesity,3,是
i631619983943659520,"腰椎间盘突出症,综合征",FA84.2,15,Lumbar disc herniation,3,是
i631620387649613824,分娩痛,,,,3,否
i631620009029791744,老年抑郁症,,,,3,否
i631620010963365888,一氧化碳中毒迟发型脑病,,,,3,否
i631620429131280384,痤疮、黄褐斑等面部损美性疾病,EE20.0,14,Acne,3,是
i631623078907998208,"围绝经期,干眼症",,,,3,否
i631623087032365056,躁狂症,,,,3,否
i631623153243648000,肺癌疼痛,,,,3,否
i631623173573439488,"缺血性脑卒中,脑卒中后吞咽困难",8B11,08,Ischaemic stroke,3,是
i631621842989215744,慢性非特异性溃疡性结肠炎,DD71,13,Ulcerative colitis,3,是
i631622210129227776,"溃疡,膀胱炎",,,,3,否
i631621880725368832,中风后遗偏瘫,,,,3,否
i631621891009802240,膝关节半月板损伤,,,,3,否
i631622253833875456,出口梗阻型便秘,,,,3,否
i631622600698621952,小乳症,,,,3,否
i631622909663637504,"脑卒中后抑郁症脑卒中卒中后抑郁,脑卒中",6E20.0,06,Post-stroke depression,3,是
i631621990720991232,"白内障,青光眼",9B10,09,Cataract,3,是
i631622035860090880,急性期支气管扩张,,,,3,否
i631622043950903296,混合性焦虑抑郁障碍,6A70,06,Depressive disorder,3,是
i631621628597366784,围绝经期失眠,,,,3,否
i631622076830052352,脑瘫患儿运动功能障碍,MB21,21,Motor dysfunction,3,是
i631622361816231936,脑卒中后轻度认知障碍,8A20,08,Cognitive disorder,3,是
i631622112309669888,盆腔瘀血综合征,,,,3,否
i631622120417259520,"脑外伤,胃肠功能恢复",,,,3,否
i631622415943725056,风寒湿痹型类风湿关节炎,FA20,15,Rheumatoid arthritis,3,是
i631621820461608960,"脑出血,血肿,水肿",8B00,08,Intracerebral haemorrhage,3,是
i631619122664304640,胃动力不足,,,,2,否
i631619136635531264,早泄,HA00,17,Premature ejaculation,2,是
i631619138850123776,半月板损伤,,,,2,否
i631619139949031424,顽固性失眠症,,,,2,否
i631619145338712064,"脑卒中,偏瘫",8B20,08,Stroke,2,是
i631619147217760256,"脑卒中,卒中后痉挛性瘫痪",8B20,08,Stroke,2,是
i631619124849537024,髌骨软骨软化症,,,,2,否
i631619125373825024,"肝癌,顽固性呃逆",DD93,13,Intractable hiccup,2,是
i631619125776478208,脑卒中后吞咽功能障碍,,,,2,否
i631619148660600832,肌痉挛,,,,2,否
i631619150631923712,糖尿病心理障碍,,,,2,否
i631619162950594560,肝硬化,DB93,13,Hepatic cirrhosis,2,是
i631619163541991424,"痛风性关节炎,发作",5C45.1,05,Gouty arthritis,2,是
i631619165098078208,急性中风,,,,2,否
i631619170928160768,老年脑血管意外后遗症,,,,2,否
i631619166675136512,子宫内膜异位症,GA10,17,Endometriosis,2,是
i631619167920844800,疳积,,,,2,否
i631619153546964992,肾虚,TM07,26,Kidney deficiency (TCM),2,是
i631619157288284160,腰椎后关节紊乱症,,,,2,否
i631619204591644672,血瘀型腰椎间盘突出症,FA84.2,15,Lumbar disc herniation,2,是
i631619180671528960,化疗后恶心呕吐,MB25.0,21,Chemotherapy-induced nausea and vomiting,2,是
i631619182156312576,宫颈癌根治术后尿潴留,,,,2,否
i631619182223421440,"胰岛素抵抗,多囊卵巢综合征",5A80.1,05,Polycystic ovary syndrome,2,是
i631619210027462656,喉痹,,,,2,否
i631619225219231744,骨性关节病,,,,2,否
i631619234262151168,"脑梗死,假性延髓麻痹",8B11,08,Cerebral infarction,2,是
i631619211344474112,脑卒中后呃逆,,,,2,否
i631619216172118016,"脑损伤,吞咽障碍",MB23.3,21,Dysphagia,2,是
i631619216381833216,"胃癌,胃肠功能恢复",,,,2,否
i631619253002301440,前列腺电切术后尿潴留,,,,2,否
i631619255032344576,寒湿,,,,2,否
i631619257448263680,中枢性呃逆,,,,2,否
i631619261206360064,地震后广泛性焦虑症,,,,2,否
i631619262712115200,"寒湿,膝骨性关节炎",FA00,15,Osteoarthritis,2,是
i631619263030882304,抽动症,,,,2,否
i631619264226258944,"慢性支气管炎,发作",CA20,12,Chronic bronchitis,2,是
i631619265178365952,胃排空障碍,,,,2,否
i631619271952166912,踝关节扭伤疗,,,,2,否
i631619265983672320,亚急性期脑出血,,,,2,否
i631619240046096384,脑卒中后假性球麻痹,,,,2,否
i631619240591355904,白细胞减少,,,,2,否
i631619240780099584,声带息肉,CA29.2,12,Vocal cord polyp,2,是
i631619245708406784,脾虚,,,,2,否
i631619246677291008,中风后焦虑障碍,6B00,06,Anxiety disorder,2,是
i631619247281270784,重症颅脑外伤,,,,2,否
i631619247486791680,"气阴两虚,2型糖尿病",5A11,05,Type 2 diabetes mellitus,2,是
i631619248715722752,胃肠肿瘤,,,,2,否
i631619249453920256,非糜烂性反流病,,,,2,否
i631619276263911424,急性单纯性胃炎,,,,2,否
i631619276918222848,盆底失弛缓综合征,,,,2,否
i631619277585117184,"偏瘫,肌痉挛",8B20.1,08,Hemiplegia,2,是
i631619302893547520,"偏头痛,发作",8A80.0,08,Migraine,2,是
i631619303619162112,糖耐量减低,,,,2,否
i631619304135061504,急性发作期过敏性鼻炎,CA08.0,12,Allergic rhinitis,2,是
i631619314306248704,剖宫产术后早排气,,,,2,否
i631619317544251392,"脑梗塞,昏迷",8B11,08,Cerebral infarction,2,是
i631619308652326912,声带小结,,,,2,否
i631619287349456896,卒中后吞咽功能障碍,,,,2,否
i631619292130963456,膝关节肿痛,,,,2,否
i631619296543371264,骨质疏松症疼痛,FB83,15,Osteoporosis,2,是
i631619300511182848,颈性头痛眩晕,,,,2,否
i631619339073613824,训练性膝关节损伤,,,,2,否
i631619340524843008,肌腱炎,,,,2,否
i631619354789670912,急性脑出血,,,,2,否
i631619362549133312,缺血性脑血管病,8B2Z,08,Cerebrovascular disease,2,是
i631619366722465792,混合痔术后疼痛,MG30.0,21,Postoperative pain,2,是
i631619321864384512,"恢复期,脑卒中",,,,2,否
i631619331364483072,韧带损伤,,,,2,否
i631619370325372928,面瘫后遗症,,,,2,否
i631619393712812032,结膜炎,,,,2,否
i631619402994806784,"麻痹,肠梗阻",,,,2,否
i631619405083570176,小儿急性上呼吸道感染高热,,,,2,否
i631619407142973440,背肌筋膜炎,,,,2,否
i631619401409359872,术后尿潴留,,,,2,否
i631619402122391552,喉炎,,,,2,否
i631619375002021888,失音,,,,2,否
i631619377837371392,"肝阳上亢,头痛",,,,2,否
i631619379322155008,视神经炎,9B71,09,Optic neuritis,2,是
i631619380802744320,脑卒中运动性失语,,,,2,否
i631619382581129216,"脑卒中,恢复期,吞咽障碍",8B20,08,Stroke,2,是
i631619428529729536,不孕症,GA21,17,Female infertility,2,是
i631619432262660096,稳定性心绞痛,,,,2,否
i631619435580354560,跖疣,,,,2,否
i631619436901560320,衰老,,,,2,否
i631619444849766400,"脑卒中,意识障碍",8B20,08,Stroke,2,是
i631619445244030976,五更泻,,,,2,否
i631619457818554368,颈椎小关节紊乱,,,,2,否
i631619450881175552,系统性红斑狼疮,4A40,04,Systemic lupus erythematosus,2,是
i631619408988467200,"粘连,风寒,寒湿,肩周炎",,,,2,否
i631619411391803392,"颈椎病,肩周炎",FA84,15,Cervical spondylosis,2,是
i631619413627367424,臀上皮神经损伤,,,,2,否
i631619414860492800,"帕金森病,膀胱过度活动症",8A00,08,Parkinson disease,2,是
i631619415154094080,膝关节侧副韧带损伤,,,,2,否
i631619416009732096,急性尿潴留,,,,2,否
i631619417200914432,脑卒中急性期吞咽困难,,,,2,否
i631619418899607552,"急性踝关节扭伤,踝关节扭伤疗",,,,2,否
i631619424712912896,抑郁障碍的,6A70,06,Depressive disorder,2,是
