URI,中文名称,WHO-RA代码,备注,引用次数,是否匹配
i631619376625217536,内麻点,,,7,否
i631619381440278528,豁风,,,7,否
i631619453922045952,下风湿点,,,7,否
i631619415900680192,阳关穴,,,7,否
i631619463308898304,泉中,,,7,否
i631619558041448448,C-C颈夹脊,EX-B2,jiaji,7,是
i631619575061934080,五脏俞,,,7,否
i631619714824531968,足三阳,,,7,否
i631621169253969920,神庭透上星,,,7,否
i631621493700161536,脑静,,,7,否
i631620739140677632,神道穴,GV11,,7,是
i631620628608184320,丘墟双,GB40,,7,是
i631619869862785024,正营,GB17,,7,是
i631619881002856448,足运动感区,,,7,否
i631620084376268800,耳穴肾,Ear-Acupoint,auricular,7,是
i631619846303379456,玉液穴,EX-HN13,,7,是
i631620033209954304,胫骨外髁,,,7,否
i631622058144428032,心平,,,7,否
i631619133305253888,耳穴子宫,Ear-Acupoint,auricular,6,是
i631619146328567808,地仓透颊车,,,6,否
i631619148576714752,龙眼,,,6,否
i631619152003461120,升提穴,,,6,否
i631619152439668736,大赫双,KI12,,6,是
i631619152460640256,子宫双,EX-CA1,,6,是
i631619152473223168,地机双,SP8,,6,是
i631619186354810880,地五会,GB42,,6,是
i631619189362126848,冲门,SP12,,6,是
i631619193787117568,上三黄,,,6,否
i631619194835693568,海泉,EX-HN11,,6,是
i631619195477422080,目,,,6,否
i631619183527849984,反阿是,Ashi,ashi,6,是
i631619228117495808,神门 双,HT7,,6,是
i631619229124128768,阴都,KI19,,6,是
i631619229270929408,穴风,,,6,否
i631619223159828480,双膝眼,EX-LE5,,6,是
i631619252566093824,腰-夹脊,EX-B2,jiaji,6,是
i631619253065216000,定神1针,,,6,否
i631619253073604608,定神2针,,,6,否
i631619253090381824,定神3针,,,6,否
i631619253807607808,耳穴脾,Ear-Acupoint,auricular,6,是
i631619257905442816,肓俞,KI16,,6,是
i631619259205677056,涌泉？,KI1,,6,是
i631619280273666048,双侧大肠俞,BL25,,6,是
i631619309302444032,双侧水道,ST28,,6,是
i631619341489532928,L—夹脊,EX-B2,jiaji,6,是
i631619344538791936,会宗,TE7,,6,是
i631619345159548928,哑门穴,GV15,,6,是
i631619353464270848,太阳经穴,,,6,否
i631619355154575360,肩外腧双,,,6,否
i631619329707732992,梗死部位的头部投影区,,,6,否
i631619334048837632,双本神,GB13,,6,是
i631619334065614848,双侧神门,HT7,,6,是
i631619368161112064,止痢,,,6,否
i631619370983878656,颈~夹脊,EX-B2,jiaji,6,是
i631619378110001152,明目穴,,,6,否
i631619378122584064,牙痛穴,,,6,否
i631619381427695616,颧骼,,,6,否
i631619431159558144,L-L华佗夹脊,EX-B2,jiaji,6,是
i631619445491494912,枕骨,,,6,否
i631619448003883008,四白穴,ST2,,6,是
i631619465984864256,悬灸,,,6,否
i631619492371230720,四神聪透百会,,,6,否
i631619585866461184,胫上,,,6,否
i631619651415044096,石关,KI18,,6,是
i631619614215761920,双侧曲池,LI11,,6,是
i631619715671781376,四关,,,6,否
i631619738849505280,靳三针,,,6,否
i631619683883151360,膝髎,,,6,否
i631621493784047616,三间穴,LI3,,6,是
i631620628583018496,角孙双,TE20,,6,是
i631619863562940416,浮白,GB10,,6,是
i631619863701352448,颅息,TE19,,6,是
i631620047504142336,鹤顶次,,,6,否
i631620469765697536,前额部,,,6,否
i631620062729465856,腹痛穴,,,6,否
i631619892642050048,督俞,BL16,,6,是
i631619750367064064,肾区（眼针）,,,6,否
i631619753831559168,腰-骶夹脊,EX-B2,jiaji,6,是
i631619929392541696,肩髎穴,TE14,,6,是
i631619934299877376,攒竹透眉冲,,,6,否
i631620171877838848,双侧C－C夹脊,EX-B2,jiaji,6,是
i631619816830005248,痔疮穴,,,6,否
i631619834051817472,居留,,,6,否
i631619845565181952,对侧感觉区,,,6,否
i631620033302228992,委中次,,,6,否
i631619133032624128,气海穴,CV6,,5,是
i631619138803986432,阳陵泉等穴,,,5,否
i631619140968247296,颈夹脊颈~,EX-B2,jiaji,5,是
i631619146940936192,腰椎间盘突出椎节相应的夹脊,EX-B2,jiaji,5,是
i631619144248193024,承浆透地仓,,,5,否
i631619167245561856,头部平衡区双,,,5,否
i631619167262339072,供血双,,,5,否
i631619154910113792,魂门,BL47,,5,是
i631619155195326464,廉泉旁,,,5,否
i631619188233859072,天柱双,BL10,,5,是
i631619188640706560,上八邪,,,5,否
i631619196031070208,八卦,,,5,否
i631619196039458816,主穴取中脘,,,5,否
i631619203526291456,额三针,,,5,否
i631619182995173376,臀中,,,5,否
i631619230537609216,手 三里,,,5,否
i631619230671826944,肩三针,,,5,否
i631619210564333568,下关穴,ST7,,5,是
i631619218978107392,C~C颈夹脊,EX-B2,jiaji,5,是
i631619254482890752,阳维,,,5,否
i631619255854428160,减肥穴,,,5,否
i631619272874913792,双足三里,ST36,,5,是
i631619273168515072,去百会,,,5,否
i631619273197875200,四神聪透刺百会,,,5,否
i631619266189193216,肩髃透臂臑,,,5,否
i631619268538003456,本神智三针,,,5,否
i631619244211040256,次髂,,,5,否
i631619246148808704,腰～夹脊,EX-B2,jiaji,5,是
i631619276242939904,胃痛穴,,,5,否
i631619302214070272,灵道,HT4,,5,是
i631619312217485312,地仓透颊 车,,,5,否
i631619308622966784,开音号穴,,,5,否
i631619280944754688,颈椎及胸椎椎间穴,,,5,否
i631619280957337600,腰椎~节的夹脊,EX-B2,jiaji,5,是
i631619280969920512,腰椎及骶椎关节椎间穴,,,5,否
i631619285382328320,局部痛点,,,5,否
i631619296098775040,膝下穴,,,5,否
i631619340986216448,阴廉,LR11,,5,是
i631619349307715584,颈部华佗夹脊,EX-B2,jiaji,5,是
i631619349530013696,椎间穴,,,5,否
i631619371915014144,肘尖,EX-UE1,,5,是
i631619408074108928,足三里健侧,ST36,,5,是
i631619408086691840,三阴交健侧,SP6,,5,是
i631619376084152320,对侧运动区下/,,,5,否
i631619382010703872,阴陵泉穴双侧,,,5,否
i631619382358831104,外关双侧,,,5,否
i631619447634784256,双血海,SP10,,5,是
i631619463753494528,纠内翻昆仑上寸,,,5,否
i631619469113815040,百 会,,,5,否
i631619478639079424,L~L夹脊,EX-B2,jiaji,5,是
i631619486683754496,相应部位夹脊,EX-B2,jiaji,5,是
i631619553083781120,下合穴,,,5,否
i631619560277012480,双侧太冲,LR3,,5,是
i631619568627871744,华佗夹脊穴,EX-B2,,5,是
i631619578853584896,素髎,GV25,,5,是
i631619534301687808,腰~夹脊,EX-B2,jiaji,5,是
i631619535492870144,三阴交位,,,5,否
i631619637880025088,中极穴,CV3,,5,是
i631619663473668096,顶斜线,,,5,否
i631619644859346944,左右神聪,,,5,否
i631619649678602240,络却,BL8,,5,是
i631619655168946176,华佗夹脊L~,EX-B2,jiaji,5,是
i631619621165723648,天冲,GB9,,5,是
i631619700329017344,风池次,,,5,否
i631619709309022208,膀胱经上天柱穴直下寸,,,5,否
i631619709329993728,膀胱经上天柱穴直下各寸,,,5,否
i631619736127401984,丘墟透照海,,,5,否
i631619669739958272,额区（头针）,,,5,否
i631620912105385984,平衡腰痛穴,,,5,否
i631620727224659968,腋缝,,,5,否
i631620748141654016,阿胖穴,,,5,否
i631620577957769216,遗尿点,,,5,否
i631621052832673792,枕上旁线,,,5,否
i631620834758225920,T～T夹脊,EX-B2,jiaji,5,是
i631619885515927552,颈痛,,,5,否
i631619901403951104,大肠俞穴,BL25,,5,是
i631619905631809536,梗死病灶侧瘫痪肢体对侧顶中线,,,5,否
i631620095839301632,双太冲,LR3,,5,是
i631620302438133760,承灵,GB18,,5,是
i631619743995916288,神门双侧,,,5,否
i631619964335288320,取百会,,,5,否
i631619831078055936,禾髎,,,5,否
i631620003216486400,和髎,,,5,否
i631620033335783424,委阳次,,,5,否
i631622527893893120,三里,,,5,否
i631622671573970944,五处,BL5,,5,是
i631622474462654464,髎中,,,5,否
i631619122785939456,双侧三阴交,SP6,,4,是
i631619145451958272,上风湿点,,,4,否
i631619145925914624,天髎,TE15,,4,是
i631619147922403328,耳根,,,4,否
i631619128624410624,足阳明经穴,,,4,否
i631619150204104704,腰大肌的起点,,,4,否
i631619172408750080,顶额前斜线,,,4,否
i631619195812966400,手三里穴,LI10,,4,是
i631619205896073216,额旁线,,,4,否
i631619199717863424,抬肩,,,4,否
i631619175856467968,颞穴,,,4,否
i631619175877439488,头颞穴,,,4,否
i631619229451284480,顶颞前斜线MS,,,4,否
i631619229635833856,舌根,,,4,否
i631619213806530560,气舍,ST11,,4,是
i631619213957525504,肩内陵,,,4,否
i631619215320674304,云门,LU2,,4,是
i631619215484252160,单侧后溪,,,4,否
i631619215782047744,运动区下/,,,4,否
i631619220097986560,正筋,,,4,否
i631619220106375168,正宗,,,4,否
i631619251358134272,大肠俞双侧,,,4,否
i631619253711138816,L～L夹脊,EX-B2,jiaji,4,是
i631619253849550848,耳穴三焦,Ear-Acupoint,auricular,4,是
i631619254407393280,手太阳,,,4,否
i631619255120424960,耳穴皮质下,Ear-Acupoint,auricular,4,是
i631619255246254080,极泉穴,HT1,,4,是
i631619256068337664,足外翻经筋结点,,,4,否
i631619256080920576,屈踝经筋结点,,,4,否
i631619261575458816,侧三里,,,4,否
i631619261583847424,侧下三里,,,4,否
i631619264284979200,颈到夹脊,EX-B2,jiaji,4,是
i631619265295806464,乳腺穴,,,4,否
i631619268709969920,肾腧,,,4,否
i631619240398417920,脑点,,,4,否
i631619242357157888,颈外夹脊,EX-B2,jiaji,4,是
i631619306228019200,足太阴脾经,,,4,否
i631619316764110848,发音,,,4,否
i631619308723630080,夹脊T~L,EX-B2,jiaji,4,是
i631619287097798656,穴百会,,,4,否
i631619292323901440,幽门,KI21,,4,是
i631619299965923328,肾阳关,,,4,否
i631619338570297344,第二掌骨侧远心端的头穴,,,4,否
i631619338582880256,桡尺骨段远心端桡侧的头穴,,,4,否
i631619319704317952,止泻,,,4,否
i631619370392481792,经渠,LU8,,4,是
i631619371764019200,天溪,SP18,,4,是
i631619397055672320,横骨穴,KI11,,4,是
i631619378135166976,咽痛穴,,,4,否
i631619409433063424,八风穴,EX-LE10,,4,是
i631619415724519424,运用区,,,4,否
i631619462642003968,阳关,,,4,否
i631619507919515648,百虫窝,EX-LE3,,4,是
i631619473299730432,承山穴,BL57,,4,是
i631619476453847040,目窗,GB16,,4,是
i631619555520671744,肘痛穴,,,4,否
i631619560314761216,膈俞穴,BL17,,4,是
i631619588114608128,肾（耳穴）,Ear-Acupoint,auricular,4,是
i631619570913767424,足少阴,,,4,否
i631619661535899648,梁丘穴,ST34,,4,是
i631619648109932544,阴郗,,,4,否
i631619731031322624,左水道,ST28,,4,是
i631619695757225984,天髎次,,,4,否
i631621375852802048,前谷,SI2,,4,是
i631620733558059008,-颈椎椎旁夹脊,EX-B2,jiaji,4,是
i631620743280455680,瘈脉,TE18,,4,是
i631620969143726080,大俞,,,4,否
i631620769419358208,肝腧,,,4,否
i631620769440329728,心腧,,,4,否
i631621029730447360,肾俞双,BL23,,4,是
i631620576636563456,下焦区（眼针）,,,4,否
i631621073162465280,胃（耳穴）,Ear-Acupoint,auricular,4,是
i631621327706386432,攒竹双侧,,,4,否
i631620866672685056,腑巢二十三穴,,,4,否
i631620866697850880,火串,,,4,否
i631620866723016704,背通,,,4,否
i631620866748182528,四花下,,,4,否
i631620866773348352,腑肠,,,4,否
i631619858827571200,头针,,,4,否
i631619861025386496,天突穴,CV22,,4,是
i631620054944837632,偏瘫对侧运动区,,,4,否
i631620054965809152,偏瘫对侧感觉区,,,4,否
i631619881019633664,病灶区,,,4,否
i631619902683213824,疱疹局部,,,4,否
i631619905652781056,梗死病灶侧瘫痪肢体对侧顶颞后斜线上/,,,4,否
i631619905669558272,梗死病灶侧瘫痪肢体对侧顶旁一线,,,4,否
i631620091410116608,照海穴,KI6,,4,是
i631619750346092544,肝区（眼针）,,,4,否
i631619750383841280,脾区（眼针）,,,4,否
i631619750404812800,脾区,,,4,否
i631619914087526400,四百,,,4,否
i631619931770712064,膺窗,ST16,,4,是
i631619941572800512,足少阳经穴,,,4,否
i631620329013243904,生发穴,,,4,否
i631620333887025152,双侧血海,SP10,,4,是
i631620350169313280,断面九针,,,4,否
i631619784240263168,双侧头皮运动区上点,,,4,否
i631619955120402432,妇科穴,,,4,否
i631619981905227776,浮兔,,,4,否
i631620381081333760,腰痛点穴,EX-UE7,,4,是
i631620183772884992,侠白,LU4,,4,是
i631620033021210624,阴陵上,,,4,否
i631620033075736576,膝关次,,,4,否
i631620033100902400,曲泉次,,,4,否
i631620033163816960,髌内下,,,4,否
i631622942135939072,肾四针,,,4,否
i631623379039809536,中柱,,,4,否
i631622532478267392,风池百会,,,4,否
i631622029178564608,枕上正中线,,,4,否
i631622329260044288,天井穴,TE10,,4,是
i631622759226535936,下肢运动点,,,4,否
i631622759268478976,上肢运动点,,,4,否
i631622162578403328,颌骨后缘,,,4,否
i631621802115723264,颈晕穴,,,4,否
i631622493295079424,颗三针,,,4,否
i631619132961320960,神封,KI23,,3,是
i631619133041012736,膈关,BL46,,3,是
i631619146102075392,胃管下俞,,,3,否
i631619146752192512,两侧运动区,,,3,否
i631619126049107968,玉液点,,,3,否
i631619128465027072,治返流,,,3,否
i631619129450688512,语言二三区,,,3,否
i631619148731904000,腰椎病变节段及上,,,3,否
i631619148740292608,下各一节段的双侧夹脊,EX-B2,jiaji,3,是
i631619150191521792,竖脊肌的起点,,,3,否
i631619150212493312,梨状肌的止点,,,3,否
i631619150225076224,臀大肌的起点,,,3,否
i631619150241853440,阔筋膜张肌的起点,,,3,否
i631619150254436352,臀中肌的起点,,,3,否
i631619150267019264,臀小肌起点,,,3,否
i631619165836275712,璇玑,CV21,,3,是
i631619152322228224,颈双侧夹脊,EX-B2,jiaji,3,是
i631619153395970048,关门,ST22,,3,是
i631619158961811456,病灶同侧头皮的垂直投射区,,,3,否
i631619161612611584,双侧平衡区,GS-US1,,3,是
i631619191828377600,颈旁反应点,,,3,否
i631619193728397312,木穴,,,3,否
i631619193740980224,镇静穴,,,3,否
i631619193770340352,耳针心,,,3,否
i631619193778728960,耳穴肺,Ear-Acupoint,auricular,3,是
i631619205904461824,额旁二线,,,3,否
i631619176938598400,四神,,,3,否
i631619179648118784,开音穴,,,3,否
i631619182705766400,舌三针,,,3,否
i631619237382713344,左右旁廉泉,,,3,否
i631619210971181056,踝痛,,,3,否
i631619211206062080,腰部夹脊穴,EX-B2,jiaji,3,是
i631619222081892352,脑清,,,3,否
i631619253774053376,耳穴大肠,Ear-Acupoint,auricular,3,是
i631619253874716672,耳穴耳中,Ear-Acupoint,auricular,3,是
i631619254424170496,养老穴,SI6,,3,是
i631619256051560448,屈膝经筋结点,,,3,否
i631619256127057920,屈髋经筋结点,,,3,否
i631619258014494720,百会@@,,,3,否
i631619264893153280,上天柱,,,3,否
i631619274238062592,颈夹脊穴,EX-B2,jiaji,3,是
i631619266210164736,太冲透涌泉,,,3,否
i631619242063556608,腰穴,,,3,否
i631619245251227648,坵墟,,,3,否
i631619301647839232,腰椎棘突旁压痛点,,,3,否
i631619305464655872,腘穴,,,3,否
i631619306248990720,足少阴肾经,,,3,否
i631619316130770944,太阳透下关,,,3,否
i631619316151742464,牵正透地仓,,,3,否
i631619306953633792,下廉,LI8,,3,是
i631619310510403584,耳穴面颊区,Ear-Acupoint,auricular,3,是
i631619285931782144,腓肠肌,,,3,否
i631619340176715776,解痉穴,,,3,否
i631619352252116992,T-T夹脊,EX-B2,jiaji,3,是
i631619361504751616,舌下少阴,,,3,否
i631619358312886272,耳针腰骶椎,,,3,否
i631619322971680768,第,,,3,否
i631619327447003136,颊车透颧髎,,,3,否
i631619389795332096,剑突,,,3,否
i631619395302453248,T夹脊,EX-B2,jiaji,3,是
i631619372091174912,脏腑总穴,,,3,否
i631619372103757824,大肠穴,,,3,否
i631619375626973184,提托,,,3,否
i631619378252607488,降压穴,,,3,否
i631619378462322688,对侧感觉区上/,,,3,否
i631619378479099904,对侧感觉区中/,,,3,否
i631619385718468608,股二头肌运动点,,,3,否
i631619387232612352,库房,ST14,,3,是
i631619443138490368,上焦区（眼针）,,,3,否
i631619447622201344,双脾俞,BL20,,3,是
i631619459739545600,头面部,,,3,否
i631619454861570048,枕,,,3,否
i631619412683649024,上印堂,,,3,否
i631619415883902976,肾腧穴,,,3,否
i631619426055090176,颈臂,,,3,否
i631619427346935808,督脉十三针,,,3,否
i631619462327431168,合关,,,3,否
i631619467742277632,病变节段督脉经穴,,,3,否
i631619514395521024,迎香透四白,,,3,否
i631619472796413952,运感区,,,3,否
i631619473085820928,头部语言区,,,3,否
i631619483122790400,双侧人迎,ST9,,3,是
i631619485073141760,利咽,,,3,否
i631619545483702272,下区,,,3,否
i631619563523403776,威灵,,,3,否
i631619563972194304,臂髃,,,3,否
i631619568573345792,提胛穴风池下寸,,,3,否
i631619578606120960,疱疹中心,,,3,否
i631619579071688704,颈,,,3,否
i631619544703561728,鼻炎穴,,,3,否
i631619662408314880,肝穴,,,3,否
i631619666019610624,大柱,,,3,否
i631619617042722816,风池双侧颈~,,,3,否
i631619721128570880,顶颞前斜线下/,,,3,否
i631619725318680576,内大迎,,,3,否
i631619731069071360,左外水道,,,3,否
i631619731094237184,左外归来,,,3,否
i631619673653243904,肩髁穴,LI15,,3,是
i631621381825490944,伏免,,,3,否
i631620894946488320,关内,,,3,否
i631620679287959552,C～夹脊,EX-B2,jiaji,3,是
i631621458447036416,足三重,,,3,否
i631620692604874752,环跳患侧,GB30,,3,是
i631621168759042048,脾穴,,,3,否
i631621177843904512,四穴,,,3,否
i631620713995825152,六腑,,,3,否
i631620951808667648,大杼穴,BL11,,3,是
i631620503999606784,肩髂,,,3,否
i631620516200837120,眉冲,BL3,,3,是
i631620516226002944,承光,BL6,,3,是
i631621230415310848,"太
冲",,,3,否
i631621233028362240,肩骨禺,,,3,否
i631621018728787968,颧髂,,,3,否
i631621270076649472,于氏头针颞区,,,3,否
i631620560572379136,下腹穴,,,3,否
i631621054665584640,蝶腭神经节,,,3,否
i631621291442434048,弓形切迹,,,3,否
i631620233362141184,脊穴,,,3,否
i631620046698835968,成骨次,,,3,否
i631620046744973312,腓骨小头,,,3,否
i631620047541891072,髌外,,,3,否
i631620062670745600,胸痛穴,,,3,否
i631620076939767808,脐中四边,,,3,否
i631620279746949120,肩颈,,,3,否
i631619899768172544,重子,,,3,否
i631619904423849984,梗死病灶侧顶颞后,,,3,否
i631619904449015808,梗死病灶侧顶颞前,,,3,否
i631619904469987328,梗死病灶侧顶旁,,,3,否
i631619904490958848,梗死病灶侧顶部,,,3,否
i631619905690529792,梗死病灶侧瘫痪肢体对侧顶颞前斜线上/,,,3,否
i631620085580034048,经验穴,,,3,否
i631620090768388096,擅中穴,,,3,否
i631619743484211200,阳白穴,GB14,,3,是
i631619749133938688,阳白透鱼腰,,,3,否
i631619918302801920,下三皇,,,3,否
i631620106123735040,足太阴,,,3,否
i631619756310392832,明黄,,,3,否
i631619756331364352,天黄,,,3,否
i631619756348141568,其黄,,,3,否
i631620110800384000,颈夹脊椎穴,EX-B2,jiaji,3,是
i631620114084524032,上星穴,GV23,,3,是
i631619940884934656,顽骨,,,3,否
i631619942877229056,太息,,,3,否
i631619784139599872,项会,,,3,否
i631619784156377088,上宇,,,3,否
i631619784177348608,颈上凹穴,,,3,否
i631619784198320128,协日三穴,,,3,否
i631619784219291648,巴达干三穴,,,3,否
i631620352039972864,筋健,,,3,否
i631620353084354560,丘墟照透海,,,3,否
i631619969334898688,攒竹穴,BL2,,3,是
i631620158242156544,三焦俞？,BL22,,3,是
i631620372369764352,中 院,,,3,否
i631620388438142976,口穴,,,3,否
i631619999739408384,合谷透三间,,,3,否
i631620195659542528,廉帛,,,3,否
i631619842608197632,中魁,EX-UE4,,3,是
i631620429068365824,面颊区,,,3,否
i631620022963269632,脐内环穴,,,3,否
i631620033054765056,髎髎次,,,3,否
i631620033256091648,阴谷次,,,3,否
i631620033281257472,合阳次,,,3,否
i631623078673117184,鱼尾,,,3,否
i631622219541245952,风池双透刺风府,,,3,否
i631622251589922816,玉漱,,,3,否
i631622601868832768,足通谷,BL66,,3,是
i631621553255084032,牙痛点,,,3,否
i631622008072826880,丘墟穴,GB40,,3,是
i631622013152129024,颈阿是,Ashi,ashi,3,是
i631622643832844288,疼痛部位两侧夹脊,EX-B2,jiaji,3,是
i631621569210216448,前正中线上,,,3,否
i631621595143598080,背部华佗夹脊,EX-B2,jiaji,3,是
i631622035629404160,华盖,CV20,,3,是
i631622035662958592,玉堂,CV18,,3,是
i631622081296986112,感觉区下点,,,3,否
i631621701498564608,委中患侧,BL40,,3,是
i631622493156667392,泉中内,,,3,否
i631622493332828160,左颗上三针,,,3,否
i631619122483949568,前庭聪,,,2,否
i631619133049401344,阳纲,BL48,,2,是
i631619138934009856,患侧第三腰椎横突末端,,,2,否
i631619139152113664,腹哀,SP16,,2,是
i631619139173085184,膏俞,,,2,否
i631619143098953728,头穴顶中线,,,2,否
i631619143719710720,患侧阳白透鱼腰,,,2,否
i631619124157476864,阴骨,,,2,否
i631619124170059776,然骨,,,2,否
i631619131124215808,咽后壁及软腭弓上诸点,,,2,否
i631619164770922496,肩峰下滑囊,,,2,否
i631619172308086784,外直肌穴,,,2,否
i631619153840566272,颈-夹脊,EX-B2,jiaji,2,是
i631619154104807424,L～S夹脊,EX-B2,jiaji,2,是
i631619190960156672,腓总神经点,,,2,否
i631619193619345408,门金穴,,,2,否
i631619193761951744,耳神门,,,2,否
i631619194210742272,项八穴,,,2,否
i631619204549701632,根据椎间盘突出部位选相应和其上或下个椎体的夹脊,EX-B2,jiaji,2,是
i631619204813942784,耳牵正,,,2,否
i631619204826525696,口牵正,,,2,否
i631619199726252032,举臂,,,2,否
i631619176275898368,迈步,,,2,否
i631619176309452800,解剪,,,2,否
i631619183284580352,双侧气海俞,BL24,,2,是
i631619183456546816,乳房肿块,,,2,否
i631619183469129728,灵墟,KI24,,2,是
i631619183485906944,步廊,KI22,,2,是
i631619184446402560,生命力针刺点,,,2,否
i631619226217476096,上肢穴,,,2,否
i631619234178265088,远取合谷,,,2,否
i631619232571846656,颞三针,,,2,否
i631619216264392704,棘间压痛点,,,2,否
i631619220026683392,丹田,,,2,否
i631619251345551360,肾俞双侧,,,2,否
i631619253786636288,耳穴小肠,Ear-Acupoint,auricular,2,是
i631619253836967936,耳穴胆,Ear-Acupoint,auricular,2,是
i631619254373838848,手太阴,,,2,否
i631619254948458496,头穴感觉区,,,2,否
i631619255233671168,尺泽穴,LU5,,2,是
i631619256114475008,伸肘结点,,,2,否
i631619257368571904,脑干（耳穴）,Ear-Acupoint,auricular,2,是
i631619257406320640,膈,,,2,否
i631619261286051840,意舍,BL49,,2,是
i631619272891691008,双丰隆,ST40,,2,是
i631619240142565376,医风,,,2,否
i631619240746545152,咽四穴,,,2,否
i631619240813654016,躯干部及四肢经络,,,2,否
i631619242071945216,下肢穴,,,2,否
i631619246232694784,舌三 针,,,2,否
i631619277262155776,髋骨,EX-LE1,,2,是
i631619277320876032,双下肢运动区,,,2,否
i631619278721773568,心 俞,,,2,否
i631619280286248960,双次髎,BL32,,2,是
i631619302625112064,前神聪,,,2,否
i631619304663543808,舌下三针,,,2,否
i631619316940271616,坐骨神经点,,,2,否
i631619308492943360,止泻穴,,,2,否
i631619311483482112,内外膝眼,,,2,否
i631619282765082624,八会,,,2,否
i631619288473530368,四缝穴,EX-UE10,,2,是
i631619298208509952,背部膀胱经穴,,,2,否
i631619339253968896,第～腰椎夹脊,EX-B2,jiaji,2,是
i631619343418912768,肩龋,,,2,否
i631619318550884352,太阳患侧,EX-HN5,,2,是
i631619323760209920,膀胱经背俞,,,2,否
i631619327463780352,大迎透地仓,,,2,否
i631619331544838144,对侧头皮相应刺激区,,,2,否
i631619370719637504,拇长展肌肌肉运动点,,,2,否
i631619370732220416,伸肌侧指伸肌运动点,,,2,否
i631619371927597056,肩穴,,,2,否
i631619390768410624,三区,,,2,否
i631619398200717312,玉枕穴至天柱穴的连线依次等距离取穴,,,2,否
i631619399853273088,腕踝针上区手太阳小肠经与腕横纹上寸处圈之交点,,,2,否
i631619371994705920,腕上穴,,,2,否
i631619372066009088,精府穴,,,2,否
i631619372116340736,小肠穴,,,2,否
i631619372128923648,膀胱穴,,,2,否
i631619372158283776,大腿穴,,,2,否
i631619375362732032,下关患侧,ST7,,2,是
i631619377434718208,额旁三线,,,2,否
i631619378307133440,降糖,,,2,否
i631619378432962560,对侧运动区上/,,,2,否
i631619378445545472,对侧运动区中/,,,2,否
i631619380332982272,缘中（耳穴）,Ear-Acupoint,auricular,2,是
i631619386251145216,青灵穴,HT2,,2,是
i631619387215835136,气户,ST13,,2,是
i631619432950525952,耳中,,,2,否
i631619432979886080,听宫穴,SI19,,2,是
i631619435563577344,疣体基底部,,,2,否
i631619436964474880,膝部阿是,Ashi,ashi,2,是
i631619440399609856,伸臂点,,,2,否
i631619440412192768,伸肘上点,,,2,否
i631619440428969984,伸肘下点,,,2,否
i631619440441552896,伸腕点,,,2,否
i631619440458330112,伸指点,,,2,否
i631619442333184000,足太阴穴,,,2,否
i631619442349961216,手阳明穴,,,2,否
i631619443172044800,肺区穴,,,2,否
i631619444816211968,外踝尖,EX-LE9,,2,是
i631619447295045632,顶颞前斜线的上/和中/,,,2,否
i631619410754269184,捞竹,,,2,否
i631619417939111936,耳聋穴,,,2,否
i631619496880107520,偏厉,,,2,否
i631619514206777344,靳氏舌三针,,,2,否
i631619511224627200,腕踝针下,,,2,否
i631619473773686784,乳泉,,,2,否
i631619477208821760,固肩经筋结点,,,2,否
i631619477259153408,拇指展经筋结点,,,2,否
i631619477292707840,伸肘经筋结点,,,2,否
i631619478618107904,L~S夹脊,EX-B2,jiaji,2,是
i631619546007990272,夹水沟,,,2,否
i631619555407425536,上解痉穴,,,2,否
i631619560293789696,五脏俞加膈俞,,,2,否
i631619564009943040,风时,,,2,否
i631619588131385344,脾（耳穴）,Ear-Acupoint,auricular,2,是
i631619588156551168,胃经穴,,,2,否
i631619574642503680,患侧口腔内颊黏膜,,,2,否
i631619664929091584,顶旁,,,2,否
i631619664954257408,线,,,2,否
i631619644888707072,调衡三针,,,2,否
i631619613448204288,粱丘,,,2,否
i631619615612465152,耳甲,Ear-Acupoint,auricular,2,是
i631619731052294144,左归来,ST29,,2,是
i631619669807067136,颞区,,,2,否
i631619680619982848,外膝眼,,,2,否
i631621127340290048,扭伤穴,,,2,否
i631621127877160960,顶颞前斜线上/,,,2,否
i631621383620653056,手上II区,,,2,否
i631620671507525632,椟鼻,,,2,否
i631621149402329088,四髎,,,2,否
i631621149914034176,三阳交,,,2,否
i631620676599410688,不容,ST19,,2,是
i631620687202611200,肾前,,,2,否
i631620687223582720,大肠前,,,2,否
i631621427769896960,耳穴颈椎,Ear-Acupoint,auricular,2,是
i631620690914570240,膝中,,,2,否
i631620698271379456,申脉透照海,,,2,否
i631621470216253440,耳迷根穴,,,2,否
i631620941746532352,骶四穴,,,2,否
i631620942056910848,症状所属脊神经节段颈部夹脊,EX-B2,jiaji,2,是
i631621182092734464,百汇,,,2,否
i631621200610586624,星状神经节,,,2,否
i631620510358171648,急脉,LR12,,2,是
i631620751576788992,突出椎间盘节段及上,,,2,否
i631620751601954816,下两个节段的夹脊双侧,EX-B2,jiaji,2,是
i631620757809524736,新明Ⅰ,,,2,否
i631620785244467200,腰痛,,,2,否
i631621015310430208,足运动区,,,2,否
i631620560547213312,肝胆穴,,,2,否
i631620563076378624,区,,,2,否
i631620563785216000,精灵,,,2,否
i631620805955940352,提咽,,,2,否
i631620805985300480,双侧运动区及感觉区下/,,,2,否
i631620806811578368,L~L双侧夹脊,EX-B2,jiaji,2,是
i631621035703136256,耳穴肾上腺,Ear-Acupoint,auricular,2,是
i631620572849106944,C～C夹脊,EX-B2,jiaji,2,是
